epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1686.72,1.05023,0.58149,0.87381,0.83663,0.78287,0.84979,0.55226,0.79843,0.53839,0.87969,0.000996313,0.000996313,0.000996313
43,1714.12,1.05319,0.57562,0.86882,0.87974,0.75387,0.86715,0.5485,0.87809,0.62563,0.93864,0.000990125,0.000990125,0.000990125
44,1741,1.07373,0.5796,0.86922,0.83988,0.84927,0.89041,0.58218,0.92519,0.53488,1.0139,0.000983938,0.000983938,0.000983938
45,1767.96,1.06862,0.57804,0.87396,0.90224,0.7957,0.88487,0.57863,0.84211,0.5239,0.91629,0.00097775,0.00097775,0.00097775
46,1794.64,1.04461,0.56976,0.86537,0.85165,0.88583,0.88898,0.58286,0.82068,0.48569,0.88947,0.000971562,0.000971562,0.000971562
47,1822.08,1.03828,0.56835,0.86667,0.92329,0.8302,0.90604,0.59587,0.80943,0.5571,0.90072,0.000965375,0.000965375,0.000965375
48,1849.29,1.0523,0.57113,0.86984,0.87301,0.83051,0.90498,0.59616,0.78818,0.49877,0.87708,0.000959187,0.000959187,0.000959187
49,1876.49,1.04201,0.56404,0.87018,0.91163,0.79316,0.87908,0.57469,0.86676,0.51624,0.91888,0.000953,0.000953,0.000953
50,1904.04,1.04036,0.56114,0.86577,0.82934,0.83305,0.8736,0.55722,0.81884,0.54757,0.89201,0.000946812,0.000946812,0.000946812
51,1931.72,1.0369,0.5651,0.86588,0.90671,0.81536,0.89433,0.57362,0.86233,0.68936,0.90814,0.000940625,0.000940625,0.000940625
52,1959.19,1.0452,0.54849,0.86063,0.91523,0.7713,0.8802,0.57929,0.78019,0.47253,0.87419,0.000934438,0.000934438,0.000934438
53,1986.66,1.00907,0.54139,0.8587,0.87287,0.85207,0.91299,0.59644,0.78383,0.45728,0.89265,0.00092825,0.00092825,0.00092825
54,2013.75,1.03624,0.56095,0.86828,0.92578,0.83439,0.9056,0.58579,0.85865,0.57913,0.9147,0.000922063,0.000922063,0.000922063
55,2040.36,1.03755,0.56761,0.86474,0.87954,0.85503,0.90598,0.57501,0.82894,0.47711,0.90219,0.000915875,0.000915875,0.000915875
56,2067.53,1.03093,0.55173,0.86486,0.90846,0.76647,0.86542,0.5709,0.79184,0.46488,0.89402,0.000909688,0.000909688,0.000909688
