epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,86.8712,1.2517,1.06702,1.05324,0.45959,0.41973,0.39179,0.19386,1.53507,1.26506,1.02155,0.000742625,0.000742625,0.000742625
43,88.0343,1.2845,1.10644,1.08005,0.50447,0.40228,0.42254,0.21896,1.45758,1.26892,1.00191,0.00073025,0.00073025,0.00073025
44,89.3601,1.2177,1.04762,0.9715,0.522,0.43436,0.43491,0.23879,1.38409,1.24713,0.99377,0.000717875,0.000717875,0.000717875
45,91.0667,1.23076,1.01402,1.01004,0.53168,0.43393,0.42152,0.22217,1.3899,1.19605,0.99541,0.0007055,0.0007055,0.0007055
46,92.8193,1.27846,1.02406,0.99894,0.44988,0.43453,0.41511,0.20988,1.44744,1.17598,1.0081,0.000693125,0.000693125,0.000693125
47,94.1141,1.20183,1.01056,0.9804,0.5156,0.38744,0.38896,0.18114,1.51237,1.23004,1.03028,0.00068075,0.00068075,0.00068075
48,95.3047,1.19088,1.09845,1.02312,0.52069,0.39282,0.39309,0.19096,1.48402,1.13014,1.00996,0.000668375,0.000668375,0.000668375
49,96.4475,1.17142,0.95162,0.96487,0.5255,0.37373,0.40216,0.21233,1.44072,1.11138,1.0013,0.000656,0.000656,0.000656
50,97.5718,1.1375,0.96121,0.98207,0.54873,0.34326,0.36976,0.20026,1.44887,1.21438,1.00297,0.000643625,0.000643625,0.000643625
51,98.6946,1.14682,0.95491,0.95353,0.4995,0.34596,0.35553,0.18965,1.4689,1.23283,1.00065,0.00063125,0.00063125,0.00063125
52,99.9002,1.11368,0.95543,0.96881,0.82195,0.30861,0.37619,0.20755,1.37028,1.14034,0.9806,0.000618875,0.000618875,0.000618875
53,101.047,1.19316,1.02426,1.02185,0.79062,0.33633,0.38952,0.2202,1.32476,1.08733,0.97137,0.0006065,0.0006065,0.0006065
54,102.265,1.15963,0.94366,0.97655,0.76312,0.32341,0.38836,0.22078,1.341,1.0712,0.97144,0.000594125,0.000594125,0.000594125
55,103.501,1.19742,0.99282,1.00422,0.45982,0.35798,0.38889,0.21661,1.36784,1.09397,0.97935,0.00058175,0.00058175,0.00058175
56,105.266,1.16212,0.93358,0.95939,0.41936,0.37164,0.36312,0.19473,1.43234,1.12336,0.99841,0.000569375,0.000569375,0.000569375
57,107.093,1.14749,0.92166,0.97401,0.42837,0.35502,0.36971,0.19751,1.40859,1.08763,0.99457,0.000557,0.000557,0.000557
58,108.323,1.13399,0.95307,0.97248,0.51895,0.34174,0.38273,0.21908,1.32037,1.02215,0.97076,0.000544625,0.000544625,0.000544625
59,109.668,1.06066,0.91187,0.9817,0.55872,0.33259,0.38198,0.22337,1.32008,1.00836,0.96966,0.00053225,0.00053225,0.00053225
60,110.804,1.11956,0.88593,0.96534,0.56526,0.31395,0.37767,0.21875,1.33281,1.01665,0.96947,0.000519875,0.000519875,0.000519875
61,111.943,1.09479,0.91432,1.004,0.55077,0.33781,0.37711,0.21719,1.32989,1.03319,0.97012,0.0005075,0.0005075,0.0005075
62,113.062,1.09418,0.8507,0.94226,0.52722,0.35821,0.37849,0.21867,1.30842,1.02713,0.96868,0.000495125,0.000495125,0.000495125
63,114.189,1.04277,0.88738,0.96755,0.78636,0.37787,0.38292,0.21789,1.30103,1.02548,0.96704,0.00048275,0.00048275,0.00048275
64,115.316,1.11021,1.40395,1.05997,0.79698,0.37217,0.39833,0.23001,1.30568,1.01191,0.96613,0.000470375,0.000470375,0.000470375
65,116.463,1.08112,0.85768,0.95721,0.76248,0.37975,0.40862,0.23409,1.31246,1.01265,0.96782,0.000458,0.000458,0.000458
66,117.775,1.1833,0.92298,1.03287,0.81827,0.37516,0.40721,0.23384,1.28493,1.02233,0.96547,0.000445625,0.000445625,0.000445625
67,119.59,1.17907,0.9104,0.9811,0.7976,0.37582,0.40993,0.2307,1.28206,1.05749,0.96838,0.00043325,0.00043325,0.00043325
68,121.354,1.06548,0.9356,0.95608,0.81466,0.37029,0.40376,0.22744,1.30606,1.05847,0.97252,0.000420875,0.000420875,0.000420875
69,122.637,1.12427,0.88113,0.97582,0.79647,0.37975,0.41097,0.23151,1.31642,1.03609,0.9683,0.0004085,0.0004085,0.0004085
70,123.779,0.96389,0.8629,0.97721,0.46035,0.39931,0.41122,0.22656,1.34634,1.02348,0.96701,0.000396125,0.000396125,0.000396125
71,124.915,1.11641,0.87642,0.92129,0.42441,0.41235,0.42062,0.23359,1.33741,1.00585,0.96434,0.00038375,0.00038375,0.00038375
72,126.111,1.12268,0.8537,0.95114,0.84767,0.3435,0.41978,0.23759,1.29969,1.00307,0.95549,0.000371375,0.000371375,0.000371375
73,127.247,1.16396,0.90273,0.95395,0.83798,0.34579,0.41142,0.24725,1.25968,1.00374,0.94829,0.000359,0.000359,0.000359
74,128.426,1.09916,0.8558,0.95828,0.8324,0.34546,0.40941,0.24451,1.25456,1.00257,0.94794,0.000346625,0.000346625,0.000346625
75,129.633,1.12682,0.94364,1.00202,0.82002,0.34173,0.40011,0.23735,1.25912,1.01982,0.9473,0.00033425,0.00033425,0.00033425
