epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1837.27,1.04029,0.58632,0.8825,0.93035,0.77459,0.8787,0.58081,0.87041,0.62348,0.92945,0.000996313,0.000996313,0.000996313
43,1863.67,1.04381,0.57697,0.87111,0.8479,0.81828,0.88424,0.57648,0.82541,0.52098,0.90638,0.000990125,0.000990125,0.000990125
44,1889.23,1.0852,0.58876,0.87307,0.89494,0.82103,0.90578,0.57806,1.03804,0.62565,1.1092,0.000983938,0.000983938,0.000983938
45,1915.85,1.07192,0.58593,0.87766,0.86218,0.8118,0.87927,0.5929,0.87712,0.5826,0.90997,0.00097775,0.00097775,0.00097775
46,1942.23,1.02691,0.56067,0.86828,0.93428,0.81828,0.91429,0.60257,0.81696,0.47131,0.88959,0.000971562,0.000971562,0.000971562
47,1968.7,1.03963,0.57082,0.87089,0.88966,0.7665,0.8767,0.56725,0.92553,0.75263,0.96794,0.000965375,0.000965375,0.000965375
48,1994.95,1.04539,0.57147,0.87594,0.90821,0.80736,0.90273,0.59696,0.90962,0.61179,0.96158,0.000959187,0.000959187,0.000959187
49,2020.93,1.02129,0.55804,0.87005,0.95258,0.79782,0.89137,0.5908,0.99224,0.53411,1.01441,0.000953,0.000953,0.000953
50,2046.66,1.02262,0.55283,0.86949,0.88669,0.78796,0.87539,0.55824,0.89397,0.54679,0.92728,0.000946812,0.000946812,0.000946812
51,2072.96,1.02129,0.56809,0.8692,0.94247,0.81701,0.90153,0.59306,0.84421,0.56934,0.90772,0.000940625,0.000940625,0.000940625
52,2099.7,1.03142,0.55266,0.86635,0.88005,0.78476,0.85577,0.56704,0.83942,0.50902,0.91513,0.000934438,0.000934438,0.000934438
53,2126.25,1.01249,0.54657,0.86415,0.88678,0.8403,0.91337,0.60489,0.93815,0.59187,0.96541,0.00092825,0.00092825,0.00092825
54,2153.42,1.02162,0.55161,0.86984,0.9106,0.79518,0.89781,0.59611,0.89864,0.59138,0.95605,0.000922063,0.000922063,0.000922063
55,2179.87,1.03079,0.56001,0.87018,0.88762,0.84508,0.9063,0.59735,0.85063,0.47611,0.90452,0.000915875,0.000915875,0.000915875
56,2206.24,1.02199,0.54825,0.86738,0.90427,0.81237,0.9068,0.5955,0.86768,0.49738,0.93601,0.000909688,0.000909688,0.000909688
57,2231.74,1.01065,0.53594,0.8656,0.93378,0.84831,0.9206,0.60881,0.82778,0.4751,0.88204,0.0009035,0.0009035,0.0009035
58,2258.3,1.0045,0.53817,0.86782,0.92441,0.84076,0.91462,0.61744,0.84218,0.48765,0.90529,0.000897313,0.000897313,0.000897313
59,2284.79,1.01307,0.5454,0.86389,0.93507,0.78786,0.89866,0.60521,0.87252,0.53468,0.93729,0.000891125,0.000891125,0.000891125
60,2311.39,1.01019,0.54231,0.86554,0.8669,0.81548,0.89764,0.58589,0.90649,0.58456,0.94857,0.000884938,0.000884938,0.000884938
61,2337.87,1.02698,0.54936,0.87379,0.91315,0.84383,0.91377,0.60527,0.83702,0.52124,0.90561,0.00087875,0.00087875,0.00087875
62,2363.88,0.98972,0.52575,0.86026,0.94398,0.87615,0.93267,0.617,0.82421,0.43654,0.89666,0.000872563,0.000872563,0.000872563
63,2389.27,1.00628,0.52827,0.86819,0.93086,0.86285,0.92974,0.6258,0.782,0.46025,0.88084,0.000866375,0.000866375,0.000866375
64,2414.91,0.98698,0.52019,0.86238,0.89976,0.80561,0.89342,0.59606,0.8039,0.44477,0.88928,0.000860188,0.000860188,0.000860188
65,2441.4,0.98971,0.52367,0.86198,0.91333,0.83717,0.91635,0.60653,0.87553,0.47911,0.91586,0.000854,0.000854,0.000854
66,2468.18,0.99947,0.52108,0.86059,0.87493,0.82046,0.89101,0.60165,0.79293,0.44648,0.8914,0.000847813,0.000847813,0.000847813
67,2494.7,0.9806,0.52173,0.86647,0.86656,0.81391,0.8967,0.6028,0.80534,0.47329,0.87815,0.000841625,0.000841625,0.000841625
68,2521.53,0.98794,0.52499,0.85991,0.82417,0.84892,0.89533,0.59582,0.80628,0.46192,0.88387,0.000835438,0.000835438,0.000835438
69,2547.45,0.98804,0.53124,0.86075,0.86557,0.8624,0.90926,0.60241,0.79566,0.47969,0.87831,0.00082925,0.00082925,0.00082925
70,2572.74,0.97439,0.52075,0.86249,0.95889,0.78968,0.91557,0.61433,0.77873,0.44447,0.87309,0.000823063,0.000823063,0.000823063
71,2599.36,0.98458,0.5226,0.85804,0.91664,0.79797,0.89475,0.61439,0.76614,0.48523,0.88091,0.000816875,0.000816875,0.000816875
72,2625.75,0.96389,0.50949,0.86016,0.9203,0.80513,0.91235,0.60673,0.83503,0.49029,0.89463,0.000810688,0.000810688,0.000810688
73,2652.69,0.98127,0.51695,0.85806,0.92007,0.79826,0.89582,0.59244,0.84245,0.52691,0.90353,0.0008045,0.0008045,0.0008045
74,2679.46,0.97883,0.51649,0.86205,0.8937,0.82782,0.9029,0.59356,0.89108,0.49844,0.93689,0.000798313,0.000798313,0.000798313
75,2705.98,0.9696,0.51148,0.86061,0.92221,0.81328,0.90745,0.60308,0.94486,0.48172,1.00923,0.000792125,0.000792125,0.000792125
76,2732.09,0.96936,0.50888,0.86238,0.93148,0.83529,0.90807,0.60298,0.80705,0.43018,0.88559,0.000785938,0.000785938,0.000785938
77,2757.1,0.96851,0.50323,0.85399,0.92348,0.83891,0.91859,0.61975,0.91897,0.46128,0.98302,0.00077975,0.00077975,0.00077975
78,2783.55,0.97107,0.51207,0.85463,0.92834,0.80594,0.89344,0.60083,0.87248,0.4947,0.94635,0.000773563,0.000773563,0.000773563
79,2810.45,0.97411,0.5062,0.85959,0.92314,0.86652,0.92561,0.63463,0.83527,0.55381,0.90648,0.000767375,0.000767375,0.000767375
80,2837.19,0.97836,0.51668,0.86304,0.93111,0.79657,0.91449,0.61515,0.78514,0.45539,0.8873,0.000761188,0.000761188,0.000761188
81,2863.55,0.9534,0.49693,0.8538,0.92331,0.80977,0.91207,0.61661,0.76807,0.42355,0.88863,0.000755,0.000755,0.000755
82,2889.84,0.93751,0.48764,0.85257,0.93585,0.85312,0.93163,0.62177,0.79421,0.4309,0.88115,0.000748813,0.000748813,0.000748813
83,2915.53,0.95993,0.49784,0.85358,0.94447,0.82883,0.91241,0.61773,0.78496,0.4269,0.88947,0.000742625,0.000742625,0.000742625
